RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
0.23148148148148145,0.4959770114942529,0.7445918367346938,0.7808888888888889,0.4382089552238802,0.5629391304347818,0.7251774340309372,0.880595238095238,0.26685185185185184,0.3289130434782609,0.014402358811521885,0.4415384615384616,0.4097206703910614,0.45429508196721313,0.3704267589388696,0.11223922114047297,0.2860632183908048,0.7392391304347826,0.6176087997169442,0.42272488509520656,0.5111895910780667,0.5084411764705881,0.47476804123711325,0.5639147286821704,0.39510638297872364
0.1111111111111111,0.6091954022988506,0.5816326530612245,0.45555555555555555,0.330223880597015,0.41739130434782606,0.8908098271155596,0.857142857142857,0.09259259259259259,0.13043478260869565,0.18110682694488545,0.23076923076923078,0.31098696461824954,0.4655737704918033,0.2387543252595155,0.10292072322670374,0.9224137931034482,0.5643478260869564,0.036589173101338135,0.3131976362442548,0.4888475836431227,0.6558823529411765,0.51159793814433,0.8346253229974159,0.2765957446808511
0.23148148148148145,0.4959770114942529,0.7445918367346938,0.7808888888888889,0.4382089552238802,0.5629391304347818,0.7251774340309372,0.880595238095238,0.26685185185185184,0.3289130434782609,0.014402358811521885,0.4415384615384616,0.4097206703910614,0.45429508196721313,0.3704267589388696,0.11223922114047297,0.2860632183908048,0.7392391304347826,0.6176087997169442,0.42272488509520656,0.5111895910780667,0.5084411764705881,0.47476804123711325,0.5639147286821704,0.39510638297872364
0.23148148148148145,0.4959770114942529,0.7445918367346938,0.7808888888888889,0.4382089552238802,0.5629391304347818,0.7251774340309372,0.880595238095238,0.26685185185185184,0.3289130434782609,0.014402358811521885,0.4415384615384616,0.4097206703910614,0.45429508196721313,0.3704267589388696,0.11223922114047297,0.2860632183908048,0.7392391304347826,0.6176087997169442,0.42272488509520656,0.5111895910780667,0.5084411764705881,0.47476804123711325,0.5639147286821704,0.39510638297872364
0.17283950617283955,0.6149425287356322,0.6122448979591836,0.5,0.3233830845771145,0.4121739130434782,0.8116469517743403,0.8690476190476191,0.1111111111111111,0.15217391304347827,0.11986845089589475,0.23076923076923078,0.29236499068901306,0.17704918032786887,0.3448673587081892,0.09735744089012516,0.543103448275862,0.391304347826087,0.17072866151892918,0.30925804333552204,0.4665427509293681,0.2529411764705882,0.3453608247422681,0.5116279069767442,0.31617021276595764
0.23148148148148145,0.4959770114942529,0.7445918367346938,0.7808888888888889,0.4382089552238802,0.5629391304347818,0.7251774340309372,0.880595238095238,0.26685185185185184,0.3289130434782609,0.014402358811521885,0.4415384615384616,0.4097206703910614,0.45429508196721313,0.3704267589388696,0.11223922114047297,0.2860632183908048,0.7392391304347826,0.6176087997169442,0.42272488509520656,0.5111895910780667,0.5084411764705881,0.47476804123711325,0.5639147286821704,0.39510638297872364
0.23148148148148145,0.4959770114942529,0.7445918367346938,0.7808888888888889,0.4382089552238802,0.5629391304347818,0.7251774340309372,0.880595238095238,0.26685185185185184,0.3289130434782609,0.014402358811521885,0.4415384615384616,0.4097206703910614,0.45429508196721313,0.3704267589388696,0.11223922114047297,0.2860632183908048,0.7392391304347826,0.6176087997169442,0.42272488509520656,0.5111895910780667,0.5084411764705881,0.47476804123711325,0.5639147286821704,0.39510638297872364
0.23148148148148145,0.4959770114942529,0.7445918367346938,0.7808888888888889,0.4382089552238802,0.5629391304347818,0.7251774340309372,0.880595238095238,0.26685185185185184,0.3289130434782609,0.014402358811521885,0.4415384615384616,0.4097206703910614,0.45429508196721313,0.3704267589388696,0.11223922114047297,0.2860632183908048,0.7392391304347826,0.6176087997169442,0.42272488509520656,0.5111895910780667,0.5084411764705881,0.47476804123711325,0.5639147286821704,0.39510638297872364
0.23148148148148145,0.4959770114942529,0.7445918367346938,0.7808888888888889,0.4382089552238802,0.5629391304347818,0.7251774340309372,0.880595238095238,0.26685185185185184,0.3289130434782609,0.014402358811521885,0.4415384615384616,0.4097206703910614,0.45429508196721313,0.3704267589388696,0.11223922114047297,0.2860632183908048,0.7392391304347826,0.6176087997169442,0.42272488509520656,0.5111895910780667,0.5084411764705881,0.47476804123711325,0.5639147286821704,0.39510638297872364
0.23148148148148145,0.4959770114942529,0.7445918367346938,0.7808888888888889,0.4382089552238802,0.5629391304347818,0.7251774340309372,0.880595238095238,0.26685185185185184,0.3289130434782609,0.014402358811521885,0.4415384615384616,0.4097206703910614,0.45429508196721313,0.3704267589388696,0.11223922114047297,0.2860632183908048,0.7392391304347826,0.6176087997169442,0.42272488509520656,0.5111895910780667,0.5084411764705881,0.47476804123711325,0.5639147286821704,0.39510638297872364
